tag,n_trades,WR_%,avg_net_Rs,total_net_Rs,total_gross_Rs,total_cost_Rs,sharpe,MDD_Rs,trades_per_day
v5_tgt_lower,367,43.6,284.0,104324.0,167083.0,62760.0,2.93,-43438.0,6.92
v6_combo_a,208,45.7,405.0,84315.0,119874.0,35560.0,2.82,-45440.0,4.33
v7_clean_baseline,208,45.7,405.0,84315.0,119874.0,35560.0,2.82,-45440.0,4.33
v7_dls10k,208,45.7,405.0,84315.0,119874.0,35560.0,2.82,-45440.0,4.33
v7_dls15k,208,45.7,405.0,84315.0,119874.0,35560.0,2.82,-45440.0,4.33
v5_strong_oi,280,45.0,342.0,95870.0,143676.0,47806.0,2.32,-52669.0,5.83
v6_combo_b,208,46.6,281.0,58536.0,94092.0,35556.0,2.18,-53808.0,4.33
v5_relaxed_oi,453,43.9,250.0,113467.0,192129.0,78662.0,2.0,-87275.0,7.95
v7_relaxed_oi_dls,453,43.9,250.0,113467.0,192129.0,78662.0,2.0,-87275.0,7.95
v7_relaxed_oi,453,43.9,250.0,113467.0,192129.0,78662.0,2.0,-87275.0,7.95
v5_vol_z25,259,45.9,322.0,83432.0,127767.0,44335.0,1.96,-68133.0,4.89
v4_fut_oiflip,361,43.8,285.0,102726.0,164512.0,61786.0,1.95,-78813.0,6.81
v6_combo_c,367,44.4,168.0,61839.0,124594.0,62756.0,1.94,-45105.0,6.92
v4_fut_base,363,43.8,262.0,95274.0,157362.0,62088.0,1.9,-68231.0,6.85
v6_combo_d,428,43.0,173.0,74044.0,146907.0,72863.0,1.86,-66383.0,7.93
v5_long_only,364,44.2,232.0,84330.0,146624.0,62293.0,1.79,-70815.0,6.87
v5_cool6,356,44.1,223.0,79456.0,140399.0,60943.0,1.66,-84566.0,6.72
v5_tgt_mid,364,44.5,174.0,63162.0,125452.0,62290.0,1.42,-66558.0,6.87
v5_no_oi,718,42.3,22.0,15449.0,139633.0,124184.0,0.26,-129216.0,12.38
v2_strict,367,39.8,-6.0,-2330.0,27797.0,30127.0,-0.36,-14975.0,6.92
v4_fut_sel,48,33.3,-132.0,-6359.0,2156.0,8515.0,-0.67,-26565.0,1.6
v2_strict_oi,368,39.9,-17.0,-6272.0,23938.0,30209.0,-1.05,-16485.0,6.94
v3c_selective,47,34.0,-38.0,-1775.0,2088.0,3863.0,-1.28,-3335.0,1.57
v2_high_z,311,40.5,-33.0,-10202.0,15331.0,25534.0,-1.91,-24069.0,5.76
v4_fut_atr,94,27.7,-532.0,-49962.0,-33467.0,16495.0,-3.44,-49552.0,2.47
v3b_atr,94,30.9,-90.0,-8456.0,-735.0,7721.0,-3.98,-7811.0,2.47
v1,1205,39.3,-56.0,-67565.0,31311.0,98876.0,-4.81,-90133.0,20.78
v3a_fade,430,37.7,-93.0,-40088.0,-4800.0,35289.0,-5.28,-37465.0,7.96
v3d_fade_sel,130,29.2,-147.0,-19084.0,-8412.0,10672.0,-6.56,-19517.0,2.95
v2_loose,2608,36.4,-73.0,-191480.0,22486.0,213965.0,-10.64,-188180.0,44.97
